détails,état,marque,adresse,prix,image_lien
Hp Probook 450 G6 8gen - i5,D'occasion,HP,"Médina, Dakar",160000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f30b8accb1283c5a81ff900d770a084c/-/horizon-files-prod/ed/picture/q785xk0g/521eb0448bfe03873b3113a6401c405f80cb54d7.jpg
HP PROBOOK 440 G7 | i5 | 10 GEN,Venant,HP,"Médina, Dakar",225000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/171ba44e47765d797fc5cf281f255a37/-/horizon-files-prod/ed/picture/q8v5wwx0/3d68f826f73622d38e25e50e480cd6aa7acba2dd.jpg
ORDINATEUR DE BUREAU HP PRODESK 600 G3 SFF | i5 | 6 𝗚𝗲𝗻,Venant,HP,"Médina, Dakar",85000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1f499e52d0f6637dc6003995dc6707a8/-/horizon-files-prod/ed/picture/qj4qn42e/51e0b3aa37efc3789bbf829c73fe84dd44afb06e.jpg
ORDINATEUR DE BUREAU HP PRODESK 400 G2 | i5 | 4 𝗚𝗲𝗻,Venant,HP,"Médina, Dakar",70000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dacfe335e216dfeb1bdcfbd33ae0b1d3/-/horizon-files-prod/ed/picture/qm5gz5vr/7c9420a260d9868eb2d5b3a5ae9894a096733f35.jpg
Dell xps 9365 i7 rotatif,Venant,Dell,"Médina, Dakar",225000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/210b155da74b24f9957ec8da2825a612/-/horizon-files-prod/ed/picture/qzv8r58g/23723e12a69ea90dbd622429395451f8596a72d5.png
Lenovo Legion Pro 7 RTX 4080 VRAM 12Go Dédiée Core i9 14e,Neuf,Lenovo,"Gueule-Tapée, Dakar",1550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ecafe0303d80e8046dd895d680a27501/-/horizon-files-prod/ed/picture/qenrpjr6/12703fcce7999a99a8f261efa9115e1376d3cd53.jpg
Macbook pro 16 M3 MAX 48GB RAM,Neuf,Apple,"Fenêtre mermoz, Dakar",2699000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/afc7170c9f17a3d9e3c2c34f9f0653d9/-/horizon-files-prod/ed/picture/q0gw5e08/e1a1d4c181ed4e214e2feb3203a6c235dfc3f114.jpg
HP PROBOOK 440 G11 ULTRA 5/16GO/512SSD,Neuf,HP,"Médina, Dakar",400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a960a7a3219f660e465e4f071855c500/-/horizon-files-prod/ed/picture/qrzr6485/d5fe5543e69317491dbf8616b8d20b786f53da45.jpg
DELL XPS 13 I7/16GO/512SSD,Neuf,Dell,"Médina, Dakar",400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a80d363e45de5ef7dcae2a35b806674e/-/horizon-files-prod/ed/picture/q9mkr6jj/d2efab9722a3abc972ae8dc98353985ab6885388.jpg
LENOVO X1 CARBON I7/32GO/512SSD TACTILE,Neuf,Lenovo,"Médina, Dakar",650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/70e78f0eb2162fa1f2ccf640b3b88bd9/-/horizon-files-prod/ed/picture/qkr7627z/562b4d999c4ac3fd5228dfdb02b27b63d7edbe5b.png
